
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
375) B054_GPS    9.808        0.030              94.033              2.259
376) 93049_GP    9.746        0.030              94.063              1.758
377) 92108_GP    9.673        0.030              94.093              3.217
378) 93072_GP    9.671        0.030              94.123              2.577
379) 950293_G    9.664        0.030              94.152              0.210
380) 950161_G    9.652        0.030              94.182              1.029
381) 950195_G    9.612        0.030              94.212              1.396
382) B053_GPS    9.594        0.030              94.241              2.280
383) 940032_G    9.582        0.030              94.271              0.245
384) 960555_G    9.540        0.029              94.301              0.813
385) 970818_G    9.474        0.029              94.330              0.777
386) 960630_G    9.465        0.029              94.359              0.890
387) 950191_G    9.451        0.029              94.388              1.759
388) 950302_G    9.428        0.029              94.417              0.312
389) UBR1_GKA    9.401        0.029              94.446              6.448
390) 970803_G    9.400        0.029              94.475              1.154
391) 970798_G    9.394        0.029              94.504              3.385
392) 950272_G    9.374        0.029              94.533              0.443
393) 950192_G    9.370        0.029              94.562              1.259
394) 93068_GP    9.363        0.029              94.591              2.455
395) 950417_G    9.361        0.029              94.620              0.482
396) 960653_G    9.341        0.029              94.649              0.297
397) 950274_G    9.328        0.029              94.678              0.569
398) 960626_G    9.279        0.029              94.706              1.268
399) HB34_GUA    9.254        0.029              94.735              0.513
400) 93062_GP    9.214        0.028              94.763              2.633
401) 950297_G    9.114        0.028              94.791              0.521
402) 960629_G    9.106        0.028              94.820              0.601
403) 940034_G    9.092        0.028              94.848              2.823
404) 950189_G    9.091        0.028              94.876              1.633
405) 950463_G    9.042        0.028              94.904              0.493
406) 960632_G    9.023        0.028              94.931              1.030
407) 950278_G    8.988        0.028              94.959              0.978
408) B052_GPS    8.912        0.028              94.987              2.382
409) KORC_GKA    8.866        0.027              95.014              5.587
410) 950374_G    8.862        0.027              95.041              1.180
411) 960608_G    8.827        0.027              95.069              0.605
412) 960588_G    8.818        0.027              95.096              0.937
413) 950269_G    8.761        0.027              95.123              1.402
414) 940093_G    8.745        0.027              95.150              0.235
415) 950114_G    8.740        0.027              95.177              0.849
416) 960615_G    8.730        0.027              95.204              1.157
417) 970829_G    8.729        0.027              95.231              1.455
418) 960591_G    8.700        0.027              95.258              3.878
419) 950187_G    8.650        0.027              95.284              0.955
420) 970787_G    8.632        0.027              95.311              0.060
421) 960752_G    8.586        0.027              95.338              0.490
422) 950420_G    8.567        0.026              95.364              0.322
423) 970799_G    8.540        0.026              95.390              0.551
424) 960613_G    8.495        0.026              95.417              0.243
425) 960553_G    8.482        0.026              95.443              3.316
426) 960727_G    8.464        0.026              95.469              2.823
427) 950180_G    8.455        0.026              95.495              1.019
428) 960590_G    8.455        0.026              95.521              0.719
429) 950292_G    8.351        0.026              95.547              0.336
430) 960557_G    8.348        0.026              95.573              1.739
431) 950295_G    8.269        0.026              95.598              0.998
432) 950273_G    8.260        0.025              95.624              0.575
433) 970795_G    8.179        0.025              95.649              0.650
434) 950178_G    8.053        0.025              95.674              0.697
435) 950415_G    8.053        0.025              95.699              0.503
436) 940035_G    8.049        0.025              95.723              0.700
437) 93073_GP    8.029        0.025              95.748              0.922
438) 950466_G    8.018        0.025              95.773              0.906
439) 950157_G    8.009        0.025              95.798              0.911
440) _ES1_GKA    7.997        0.025              95.822              1.119
441) 950430_G    7.966        0.025              95.847              0.212
442) 960616_G    7.922        0.024              95.871              0.780
443) 950198_G    7.795        0.024              95.896              0.523
444) 950315_G    7.771        0.024              95.920              0.206
445) 950181_G    7.749        0.024              95.943              2.436
446) 950428_G    7.738        0.024              95.967              0.630
447) 950196_G    7.731        0.024              95.991              0.835
448) 93083_GP    7.731        0.024              96.015              0.489
449) 950200_G    7.641        0.024              96.039              1.019
450) 950478_G    7.630        0.024              96.062              2.058
451) HB58_GUA    7.577        0.023              96.086              0.857
452) 950111_G    7.549        0.023              96.109              0.183
453) 960697_G    7.481        0.023              96.132              1.031
454) 970802_G    7.450        0.023              96.155              0.526
455) 950436_G    7.447        0.023              96.178              2.043
456) 950188_G    7.425        0.023              96.201              2.465
457) 940044_G    7.423        0.023              96.224              1.495
458) 950242_G    7.360        0.023              96.247              0.901
459) 960637_G    7.355        0.023              96.269              0.245
460) 950418_G    7.336        0.023              96.292              0.136
461) 940049_G    7.263        0.022              96.314              1.507
462) 960693_G    7.185        0.022              96.337              2.981
463) 950194_G    7.167        0.022              96.359              2.386
464) 93043_GP    7.152        0.022              96.381              1.016
465) 960510_G    7.131        0.022              96.403              2.083
466) 950185_G    7.077        0.022              96.425              0.840
467) 950222_G    7.044        0.022              96.446              0.322
468) UBR2_GKA    6.990        0.022              96.468              6.404
469) 960547_G    6.983        0.022              96.489              0.463
470) 950372_G    6.978        0.022              96.511              0.621
471) 940012_G    6.943        0.021              96.532              0.732
472) 950217_G    6.931        0.021              96.554              0.903
473) 940047_G    6.923        0.021              96.575              0.666
474) 950142_G    6.888        0.021              96.596              1.399
475) 950275_G    6.869        0.021              96.618              0.550
476) 950133_G    6.869        0.021              96.639              1.062
477) 960505_G    6.813        0.021              96.660              2.377
478) 940016_G    6.791        0.021              96.681              2.761
479) 950284_G    6.725        0.021              96.702              0.463
480) 950465_G    6.694        0.021              96.722              1.760
481) MDOI_GPS    6.678        0.021              96.743              2.151
482) 960585_G    6.649        0.021              96.763              0.294
483) 960701_G    6.640        0.020              96.784              3.011
484) 950219_G    6.622        0.020              96.804              0.733
485) 960695_G    6.544        0.020              96.825              1.525
486) 960506_G    6.518        0.020              96.845              1.933
487) 950427_G    6.496        0.020              96.865              0.333
488) 970824_G    6.430        0.020              96.885              0.511
489) 960679_G    6.331        0.020              96.904              0.512
490) 93079_GP    6.326        0.020              96.924              2.434
491) 950367_G    6.257        0.019              96.943              1.873
492) 950265_G    6.255        0.019              96.962              1.873
493) 960704_G    6.160        0.019              96.981              3.377
494) 950429_G    6.160        0.019              97.000              0.365
495) 960712_G    6.154        0.019              97.019              0.475
496) 950277_G    6.131        0.019              97.038              0.705
497) UGLE_GPS    6.117        0.019              97.057              2.078
498) SUIH_GUA    6.065        0.019              97.076              8.782
499) 960503_G    6.011        0.019              97.094              0.968
500) 960678_G    5.973        0.018              97.113              0.726
501) 960652_G    5.962        0.018              97.131              3.407
502) 950289_G    5.911        0.018              97.150              0.094
503) 950244_G    5.909        0.018              97.168              1.041
504) 950182_G    5.889        0.018              97.186              0.726
505) 950154_G    5.886        0.018              97.204              2.935
506) 950422_G    5.867        0.018              97.222              0.366
507) 950206_G    5.852        0.018              97.240              1.871
508) 950197_G    5.817        0.018              97.258              0.374
509) 950270_G    5.808        0.018              97.276              1.559
510) 950220_G    5.793        0.018              97.294              1.308
511) 960713_G    5.743        0.018              97.312              1.180
512) 960696_G    5.677        0.018              97.329              1.235
513) 970825_G    5.640        0.017              97.347              1.098
514) 960508_G    5.627        0.017              97.364              0.557
515) 970832_G    5.555        0.017              97.381              3.812
516) 950311_G    5.549        0.017              97.398              0.197
517) 950108_G    5.509        0.017              97.415              1.654
518) 960514_G    5.482        0.017              97.432              0.734
519) 960587_G    5.472        0.017              97.449              1.462
520) 940092_G    5.470        0.017              97.466              1.809
521) 950210_G    5.448        0.017              97.483              1.218
522) 950246_G    5.426        0.017              97.500              0.659
523) 950477_G    5.421        0.017              97.516              0.937
524) 950148_G    5.388        0.017              97.533              2.939
525) 940095_G    5.342        0.016              97.550              1.309
526) DRAO_GPS    5.333        0.016              97.566              4.132
527) 960568_G    5.314        0.016              97.582              0.905
528) 960564_G    5.289        0.016              97.599              0.547
529) 950186_G    5.265        0.016              97.615              1.189
530) 970801_G    5.245        0.016              97.631              0.558
531) 950371_G    5.196        0.016              97.647              0.553
532) 960504_G    5.179        0.016              97.663              0.332
533) 950167_G    5.143        0.016              97.679              0.270
534) 950298_G    5.140        0.016              97.695              0.243
