name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"eu_phil_1baba               ",138.362,33.885,138.467,34.041,155,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1babb               ",138.467,34.041,138.533,34.404,155,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1bbaaaa             ",138.533,34.404,138.587,34.587,155,100,0,0,0,0,0,0,0,0,23,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1bbaaab             ",138.587,34.587,138.602,34.747,155,100,0,0,0,0,0,0,0,0,23,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1bbaaba             ",138.602,34.747,138.624,34.886,155,100,0,0,0,0,0,0,0,0,23,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1bbaabb             ",138.624,34.886,138.636,35.081,155,100,0,0,0,0,0,0,0,0,23,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1bbab               ",138.636,35.081,138.594,35.204,45,100,0,0,0,0,0,0,0,0,20,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_1bbba               ",138.594,35.204,138.547,35.297,45,100,0,0,0,0,0,0,0,0,15,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_1bbbb               ",138.547,35.297,138.484,35.543,45,100,0,0,0,0,0,0,0,0,15,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_2aa                 ",131.826,29.509,132.656,30.391,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_2ab                 ",132.656,30.391,132.677,30.662,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_2ba                 ",132.677,30.662,132.812,30.975,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_2bbaa               ",132.812,30.975,133.217,31.251,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_2bbab               ",133.217,31.251,133.337,31.526,155,100,0,0,0,0,0,0,0,0,30,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_2bbb                ",133.337,31.526,133.802,31.789,155,100,0,0,0,0,0,0,0,0,30,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_3a                  ",121.449,22.906,121.776,24.283,25,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,80,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3baba               ",122.975,23.434,123.803,23.409,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3babbaa             ",123.803,23.409,124.26,23.402,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3babbab             ",124.26,23.402,124.717,23.396,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3babbb              ",124.717,23.396,125.631,23.384,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbaaaa             ",125.631,23.384,126.188,23.671,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbaaab             ",126.188,23.671,126.744,23.958,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbaab              ",126.744,23.958,127.429,24.508,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbabaa             ",127.429,24.508,127.943,24.951,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,1,0,0,
"eu_phil_3bbabab             ",127.943,24.951,128.457,25.395,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbabba             ",128.457,25.395,128.971,25.838,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbabbb             ",128.971,25.838,129.485,26.281,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbaaaa            ",129.485,26.281,130,26.986,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbaaab            ",130,26.986,130.515,27.691,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbaab             ",130.515,27.691,130.654,28.131,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbab              ",130.654,28.131,131.227,28.404,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbba              ",131.227,28.404,131.526,28.956,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_3bbbbb              ",131.526,28.956,131.826,29.509,155,100,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
"eu_phil_4a                  ",119.174,16.681,120.449,19.844,25,100,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,-1,0,0,0,
